,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.4,10.2,29,57.0,55.0
1,6.6,11.1,17,50.0,75.0
2,7.0,10.3,36,86.0,67.1
0,7.7,11.9,23,84.0,75.0
2,8.0,12.4,25,91.0,55.0
1,8.0,12.6,46,93.0,67.1
3,8.4,14.2,42,59.0,35.8
4,8.5,12.1,48,82.0,35.8
3,8.5,12.3,42,96.0,67.1
6,8.8,12.0,38,81.0,40.0
5,8.8,13.5,16,79.0,44.5
0,8.9,12.100000000000001,48,58.0,67.1
4,8.9,13.4,15,25.0,67.1
1,9.2,16.299999999999997,32,95.0,75.0
2,9.4,12.4,19,60.0,75.0
3,9.5,12.7,29,77.0,75.0
8,9.5,14.9,24,87.0,62.0
4,9.6,13.0,40,52.0,75.0
5,9.8,15.0,35,73.0,75.0
9,10.0,13.5,45,59.0,44.5
6,10.1,15.2,39,65.0,75.0
0,10.2,13.399999999999999,15,76.0,75.0
1,10.4,14.7,29,88.0,75.0
8,10.5,15.7,19,97.0,55.0
5,10.7,13.799999999999999,42,81.0,44.5
9,10.7,15.5,19,58.0,62.0
10,10.8,15.0,17,40.0,75.0
2,11.2,16.6,28,54.0,85.0
3,11.3,15.600000000000001,33,80.0,40.0
4,11.6,15.5,23,59.0,67.1
12,11.7,15.799999999999999,28,44.0,67.1
11,11.7,16.799999999999997,15,70.0,35.8
6,11.8,17.8,15,91.0,85.0
8,11.9,15.4,31,92.0,67.1
9,12.0,16.0,30,51.0,75.0
0,12.1,14.5,45,64.0,44.5
1,12.1,14.7,23,62.0,67.1
2,12.2,15.0,38,93.0,75.0
10,12.3,15.3,33,69.0,75.0
3,12.3,15.8,47,93.0,75.0
4,12.3,18.4,36,86.0,44.5
5,12.8,15.5,26,59.0,75.0
11,12.9,19.2,17,91.0,85.0
6,13.5,15.8,22,43.0,85.0
0,13.5,20.2,15,94.0,85.0
0,13.8,19.200000000000003,49,68.0,67.1
1,13.9,19.3,41,66.0,67.1
12,14.0,18.2,21,41.0,67.1
2,14.0,20.1,16,79.0,40.0
4,14.1,19.3,24,56.0,75.0
3,14.1,19.7,27,96.0,75.0
0,14.2,16.3,36,46.0,44.5
1,14.2,19.7,20,51.0,75.0
8,14.3,16.8,23,70.0,40.0
5,14.3,19.4,17,51.0,75.0
2,14.3,19.5,45,56.0,75.0
9,14.4,17.1,44,97.0,44.5
3,14.6,20.5,33,59.0,55.0
1,14.8,16.400000000000002,49,99.0,35.8
11,14.9,17.1,31,84.0,40.0
10,14.9,17.6,48,92.0,62.0
15,15.1,18.5,26,66.0,55.0
14,15.1,19.0,23,71.0,75.0
16,15.2,19.2,41,97.0,75.0
12,15.5,18.4,23,55.0,44.5
0,15.6,18.1,20,92.0,75.0
2,15.7,18.0,40,66.0,67.1
1,15.9,17.9,23,65.0,55.0
6,15.9,22.1,43,91.0,67.1
3,16.1,17.6,21,64.0,35.8
14,16.1,18.3,42,68.0,62.0
2,16.2,18.3,22,35.0,75.0
15,16.4,19.799999999999997,26,89.0,75.0
16,16.5,19.2,38,93.0,35.8
4,16.6,18.3,42,81.0,40.0
17,16.7,19.099999999999998,44,89.0,62.0
18,16.8,20.9,44,78.0,44.5
19,17.3,19.5,39,62.0,75.0
3,17.3,20.900000000000002,42,73.0,44.5
20,17.5,20.3,44,61.0,75.0
4,17.5,20.8,23,67.0,35.8
5,18.1,20.6,39,70.0,35.8
6,18.4,20.9,37,85.0,55.0
8,19.3,21.6,17,53.0,55.0
9,19.5,21.7,38,62.0,35.8
10,19.9,22.099999999999998,21,57.0,67.1
11,21.2,23.2,42,98.0,35.8
12,21.2,23.9,23,57.0,75.0
