,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.0,13.5,29,41.0,55.0
0,6.3,13.2,23,41.0,67.1
1,6.8,10.8,22,77.0,75.0
2,7.1,11.8,26,90.0,75.0
0,7.2,10.7,33,99.0,67.1
2,7.3,14.399999999999999,45,62.0,62.0
1,7.3,14.7,31,58.0,55.0
3,7.4,13.600000000000001,40,69.0,40.0
1,7.6,10.2,46,63.0,62.0
2,7.7,10.6,24,37.0,55.0
0,7.8,17.9,22,94.0,85.0
3,7.9,10.9,38,67.0,67.1
4,7.9,11.100000000000001,29,68.0,40.0
4,7.9,14.4,16,94.0,44.5
5,7.9,16.0,26,59.0,35.8
4,8.0,11.5,32,42.0,62.0
5,8.0,12.1,24,41.0,85.0
3,8.0,12.2,18,57.0,67.1
6,8.0,13.8,23,43.0,85.0
7,8.1,13.7,35,49.0,40.0
8,8.3,14.0,24,49.0,85.0
0,8.4,16.6,40,60.0,62.0
1,8.7,17.799999999999997,34,98.0,35.8
6,8.8,11.3,35,99.0,62.0
5,8.8,12.200000000000001,32,78.0,85.0
6,8.8,13.600000000000001,17,95.0,85.0
2,9.4,17.9,18,30.0,35.8
7,9.5,12.6,15,62.0,40.0
3,9.7,17.9,34,67.0,44.5
8,9.8,13.4,23,79.0,85.0
4,9.9,20.8,32,79.0,75.0
0,10.1,13.7,48,58.0,75.0
1,10.1,14.0,36,72.0,44.5
2,10.2,13.299999999999999,38,80.0,85.0
0,10.2,15.299999999999999,24,35.0,75.0
3,10.3,17.6,37,88.0,55.0
9,10.5,15.2,36,87.0,40.0
0,10.5,15.6,41,55.0,55.0
1,10.7,16.5,30,55.0,40.0
5,10.9,14.3,32,78.0,35.8
4,10.9,14.8,48,73.0,67.1
10,11.0,14.1,23,50.0,75.0
1,11.2,14.0,48,61.0,67.1
6,11.4,16.1,46,96.0,40.0
7,11.5,15.2,30,81.0,35.8
2,11.6,13.899999999999999,43,90.0,55.0
8,11.7,16.1,31,71.0,40.0
2,11.8,17.200000000000003,23,64.0,85.0
3,11.9,17.7,29,97.0,75.0
0,12.1,15.899999999999999,38,75.0,85.0
0,12.3,16.0,28,46.0,55.0
1,12.4,16.2,21,80.0,55.0
1,12.4,16.7,20,37.0,55.0
2,12.5,16.9,23,35.0,62.0
3,12.6,16.1,48,78.0,35.8
4,12.6,16.4,31,51.0,85.0
2,12.7,15.7,26,88.0,55.0
3,12.9,15.0,25,95.0,35.8
3,13.0,15.3,26,55.0,62.0
4,13.0,17.1,17,70.0,62.0
5,13.1,16.4,37,48.0,75.0
6,13.3,15.5,38,49.0,75.0
7,13.4,15.5,15,98.0,85.0
6,13.5,17.9,46,68.0,62.0
5,13.5,19.3,24,85.0,55.0
7,13.6,16.6,34,77.0,62.0
8,13.8,18.200000000000003,47,70.0,85.0
8,13.9,16.9,44,66.0,35.8
9,14.0,16.6,19,67.0,85.0
9,14.0,18.8,44,59.0,62.0
10,14.0,18.8,45,91.0,40.0
0,14.2,15.7,15,35.0,75.0
1,14.4,15.6,41,78.0,35.8
11,14.4,17.5,48,76.0,75.0
2,14.6,15.6,29,99.0,35.8
10,14.7,17.9,38,69.0,44.5
12,14.8,16.900000000000002,31,95.0,75.0
11,15.0,21.2,29,66.0,55.0
13,15.1,17.2,38,48.0,75.0
0,15.1,19.2,46,86.0,62.0
3,15.2,16.3,20,67.0,35.8
14,15.2,17.4,44,89.0,35.8
4,15.3,16.400000000000002,47,69.0,75.0
15,15.4,22.3,48,84.0,44.5
16,15.6,19.1,47,63.0,67.1
5,15.7,16.7,27,97.0,44.5
1,15.7,19.099999999999998,45,78.0,67.1
2,15.7,19.099999999999998,34,67.0,40.0
3,16.2,19.4,24,90.0,62.0
4,16.5,20.3,27,98.0,35.8
17,16.9,19.599999999999998,30,99.0,75.0
5,16.9,20.299999999999997,38,68.0,75.0
18,16.9,20.599999999999998,16,99.0,75.0
19,17.1,19.400000000000002,35,57.0,44.5
6,17.1,20.6,35,55.0,67.1
20,17.4,19.9,27,82.0,67.1
7,17.8,20.8,20,95.0,75.0
21,17.9,20.5,47,59.0,85.0
8,17.9,21.4,24,58.0,75.0
9,18.3,21.900000000000002,34,61.0,35.8
10,18.4,22.099999999999998,29,72.0,55.0
11,18.7,22.2,15,45.0,62.0
