,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,7.1,10.3,27,42.0,85.0
1,7.2,11.3,40,51.0,67.1
0,7.2,12.4,36,66.0,85.0
2,7.7,10.7,32,53.0,44.5
3,7.8,11.5,21,98.0,75.0
1,7.9,15.100000000000001,39,55.0,44.5
5,8.3,11.5,46,84.0,62.0
2,8.3,12.9,23,94.0,55.0
6,8.4,11.8,45,58.0,44.5
3,8.6,13.8,45,85.0,40.0
5,8.8,13.8,31,64.0,85.0
7,8.9,13.3,31,65.0,35.8
8,9.0,12.4,39,56.0,75.0
6,9.2,16.299999999999997,31,46.0,62.0
9,9.5,12.6,40,50.0,75.0
7,9.5,15.0,25,91.0,85.0
0,9.6,12.8,22,42.0,62.0
8,9.8,14.8,46,84.0,75.0
9,9.9,14.0,43,72.0,44.5
0,10.0,14.9,25,66.0,75.0
10,10.1,14.5,27,40.0,75.0
1,10.3,13.9,39,57.0,44.5
2,10.8,14.600000000000001,19,90.0,75.0
1,11.1,14.899999999999999,46,81.0,85.0
3,11.1,16.5,18,39.0,85.0
5,11.5,15.5,37,92.0,75.0
13,11.8,16.4,16,82.0,62.0
6,12.0,15.1,46,92.0,62.0
15,12.0,17.3,17,42.0,62.0
0,12.3,18.200000000000003,25,54.0,85.0
0,12.4,15.0,37,50.0,35.8
2,12.5,15.6,30,86.0,67.1
1,12.5,16.2,21,48.0,40.0
3,12.7,17.1,18,93.0,85.0
1,12.8,19.1,21,90.0,35.8
2,12.9,15.100000000000001,31,45.0,75.0
3,13.0,17.6,30,58.0,75.0
5,13.6,16.2,20,35.0,75.0
6,13.7,15.799999999999999,39,98.0,67.1
7,13.8,17.0,31,91.0,44.5
0,13.9,19.2,26,55.0,55.0
0,14.0,16.9,18,71.0,75.0
5,14.0,17.4,44,81.0,40.0
1,14.1,19.9,30,52.0,75.0
2,14.3,20.9,39,50.0,35.8
1,14.4,16.4,28,79.0,75.0
8,14.6,17.7,37,89.0,62.0
9,14.6,18.2,26,82.0,44.5
10,14.7,17.0,33,87.0,40.0
2,14.7,17.2,21,90.0,35.8
3,14.8,16.5,36,88.0,75.0
5,15.0,16.9,28,91.0,85.0
0,15.0,20.4,30,78.0,44.5
6,15.2,19.799999999999997,33,82.0,67.1
7,15.3,20.3,34,95.0,85.0
3,15.3,21.200000000000003,25,53.0,75.0
1,15.5,18.4,22,86.0,75.0
13,15.8,17.900000000000002,23,93.0,40.0
2,15.9,17.9,33,88.0,62.0
3,16.0,18.3,35,86.0,75.0
6,16.0,19.3,33,69.0,62.0
7,16.1,17.900000000000002,43,55.0,55.0
5,16.1,18.400000000000002,38,98.0,40.0
5,16.2,23.1,45,80.0,35.8
15,16.5,18.6,28,90.0,55.0
16,16.6,18.700000000000003,22,61.0,75.0
8,16.6,18.8,49,67.0,35.8
6,16.8,20.400000000000002,32,63.0,44.5
10,17.0,18.8,16,50.0,75.0
9,17.0,21.6,18,53.0,75.0
6,17.0,23.3,35,96.0,44.5
17,17.6,19.6,41,91.0,62.0
18,17.7,19.8,15,97.0,75.0
19,17.9,19.9,25,86.0,40.0
7,18.8,21.5,49,61.0,35.8
8,19.4,22.5,47,84.0,55.0
9,19.5,21.6,25,75.0,75.0
10,19.8,23.6,24,46.0,85.0
13,21.5,23.8,35,70.0,40.0
