,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.0,10.5,35,67,75.0
0,6.7,8.0,27,91,35.8
1,7.0,9.1,46,67,67.1
2,7.8,8.8,27,65,62.0
1,7.8,13.899999999999999,18,67,67.1
0,8.3,16.5,25,35,75.0
1,8.7,17.1,42,84,62.0
2,8.8,13.4,38,59,44.5
3,9.0,10.6,44,97,62.0
0,9.2,14.6,18,86,75.0
1,9.4,11.8,17,93,44.5
2,9.4,11.8,33,77,44.5
4,9.4,17.5,32,45,75.0
3,9.4,17.700000000000003,43,75,62.0
2,9.4,17.8,28,51,75.0
5,9.4,17.9,33,52,62.0
3,9.5,12.6,48,61,62.0
6,9.5,19.2,44,99,62.0
7,9.7,18.2,36,75,44.5
4,9.8,13.8,32,88,40.0
8,9.9,18.5,48,94,67.1
0,10.0,15.2,20,54,44.5
5,11.0,13.7,23,85,40.0
6,11.9,14.2,47,64,67.1
0,12.3,13.3,41,76,40.0
0,12.4,15.2,20,51,55.0
1,12.7,18.5,49,78,75.0
2,12.9,15.3,36,46,62.0
1,12.9,16.4,34,90,35.8
1,13.1,15.8,30,97,44.5
3,13.1,16.0,18,90,75.0
2,13.3,15.200000000000001,49,88,75.0
4,13.5,16.2,39,87,75.0
5,13.6,16.9,23,60,62.0
2,13.6,19.8,38,91,40.0
6,13.7,16.3,31,98,44.5
7,13.8,16.400000000000002,43,57,44.5
3,14.0,21.0,31,64,75.0
3,14.1,15.9,35,97,55.0
8,14.1,16.5,32,51,85.0
10,14.3,16.400000000000002,44,88,55.0
9,14.3,17.2,40,94,62.0
11,14.6,17.8,25,56,85.0
4,14.6,19.8,28,95,40.0
12,15.0,17.6,43,84,75.0
13,15.1,20.9,26,98,40.0
0,15.2,17.2,21,75,40.0
15,15.3,17.6,21,81,44.5
14,15.3,18.5,41,95,85.0
0,15.5,18.7,41,91,44.5
17,15.6,18.0,49,83,35.8
16,15.6,18.3,42,83,67.1
18,15.6,19.9,38,59,75.0
20,16.4,18.7,18,57,55.0
19,16.4,18.9,38,64,55.0
21,16.4,22.2,49,62,67.1
2,16.7,18.8,20,65,44.5
1,16.7,19.9,49,72,35.8
22,16.8,19.3,27,57,67.1
23,16.9,20.099999999999998,33,68,75.0
3,17.1,19.200000000000003,38,54,85.0
24,17.1,19.200000000000003,44,92,75.0
4,17.2,20.0,37,70,85.0
25,17.3,19.6,43,83,40.0
26,17.5,21.5,18,44,67.1
27,17.6,20.1,17,70,35.8
5,17.7,18.8,36,76,75.0
28,17.7,20.0,25,59,75.0
