,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.7,8.5,36,46.0,85.0
0,7.4,13.2,46,62.0,55.0
1,8.1,13.7,30,53.0,67.1
1,8.3,11.4,35,77.0,44.5
2,8.3,13.8,25,65.0,62.0
3,9.4,15.9,28,49.0,55.0
0,10.3,14.100000000000001,38,65.0,75.0
4,10.4,17.7,44,65.0,85.0
1,11.1,15.2,24,51.0,85.0
2,11.2,14.5,39,49.0,40.0
0,12.4,14.5,32,57.0,62.0
1,14.2,16.5,31,89.0,75.0
0,14.5,17.3,15,88.0,44.5
0,14.5,19.6,41,65.0,67.1
2,15.4,19.3,41,82.0,35.8
1,15.6,18.9,47,86.0,67.1
3,16.4,18.799999999999997,26,42.0,75.0
4,17.0,19.1,22,90.0,75.0
5,17.7,22.5,18,39.0,40.0
0,17.8,21.8,21,56.0,75.0
1,18.6,20.900000000000002,48,72.0,85.0
2,19.9,22.799999999999997,33,81.0,40.0
