,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.8,17.8,35,53,85.0
1,7.1,11.399999999999999,36,68,62.0
2,8.6,14.7,38,66,40.0
3,9.0,13.3,19,70,67.1
4,9.3,13.8,34,92,85.0
0,9.9,13.600000000000001,21,44,75.0
5,10.0,14.2,40,81,55.0
1,10.1,13.5,30,52,55.0
0,10.4,19.200000000000003,43,94,85.0
1,10.5,18.1,49,87,62.0
0,10.8,18.9,35,46,55.0
1,11.9,20.200000000000003,31,57,55.0
2,12.3,17.9,38,58,35.8
2,12.5,14.9,27,71,55.0
3,12.8,19.700000000000003,42,76,44.5
4,13.2,18.5,26,42,67.1
5,13.9,19.1,16,72,40.0
6,14.8,23.1,15,71,75.0
0,16.5,19.4,28,45,67.1
1,17.8,20.3,33,51,55.0
0,18.6,21.200000000000003,49,65,67.1
1,19.7,22.0,42,92,55.0
