,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,7.2,11.9,32,48.0,40.0
1,8.3,15.9,44,63.0,40.0
0,8.4,16.6,33,64.0,35.8
1,8.9,17.9,27,83.0,85.0
2,9.3,13.600000000000001,41,54.0,44.5
0,9.4,12.2,29,65.0,67.1
3,9.8,14.100000000000001,27,38.0,67.1
4,10.0,14.9,37,63.0,40.0
0,10.4,15.5,18,92.0,67.1
1,10.5,16.7,35,93.0,62.0
1,11.2,18.4,21,82.0,62.0
2,11.4,20.1,16,32.0,67.1
2,11.5,16.7,48,72.0,44.5
3,11.6,17.5,31,51.0,75.0
2,12.1,14.3,24,52.0,85.0
3,12.1,15.899999999999999,25,67.0,35.8
4,12.8,19.3,21,79.0,44.5
5,13.1,18.1,20,58.0,44.5
6,13.6,22.299999999999997,33,57.0,44.5
7,14.6,19.9,17,87.0,85.0
0,16.5,18.9,48,69.0,44.5
1,17.1,20.3,30,85.0,85.0
2,17.3,21.2,27,56.0,62.0
3,17.9,20.7,23,37.0,55.0
4,18.0,23.3,22,39.0,75.0
