,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.1,7.199999999999999,39,76,85.0
1,7.3,9.3,47,68,85.0
0,8.5,18.7,38,66,62.0
0,8.6,12.8,33,62,75.0
1,9.1,13.1,39,96,40.0
2,9.3,10.9,17,65,55.0
3,9.5,10.7,47,63,67.1
1,9.5,17.8,48,89,40.0
2,9.6,15.399999999999999,48,61,35.8
2,9.6,19.2,40,71,75.0
4,9.7,11.2,47,81,75.0
0,9.7,11.899999999999999,41,63,75.0
3,9.7,14.899999999999999,42,83,75.0
4,9.8,16.6,15,94,44.5
5,10.0,14.2,49,70,35.8
1,10.0,14.8,41,57,75.0
6,10.1,16.5,26,66,62.0
2,10.9,13.0,32,60,62.0
3,11.0,14.5,48,95,85.0
0,11.6,17.2,16,54,35.8
1,11.7,18.1,21,92,75.0
0,12.0,14.8,30,59,62.0
2,12.6,14.7,30,60,75.0
1,12.6,16.1,29,51,67.1
3,12.9,15.8,38,99,85.0
0,13.1,16.2,21,33,75.0
4,13.3,16.6,39,84,85.0
5,13.4,17.1,27,95,67.1
2,13.5,18.7,28,48,62.0
6,13.7,18.2,45,78,62.0
7,13.8,16.0,27,72,67.1
8,13.9,15.9,41,60,75.0
9,15.0,18.5,27,54,55.0
10,15.2,17.5,26,74,40.0
0,15.3,18.400000000000002,35,57,44.5
11,15.4,17.5,48,77,85.0
12,15.5,19.4,30,72,67.1
13,15.6,18.7,33,65,35.8
15,15.8,18.400000000000002,40,76,75.0
14,15.8,19.0,28,95,75.0
16,16.0,18.7,47,64,40.0
0,16.6,18.0,25,37,85.0
17,16.7,20.099999999999998,37,58,55.0
18,16.8,19.6,36,67,40.0
19,17.4,20.7,48,64,75.0
20,17.4,21.4,28,65,55.0
21,17.5,22.1,32,91,55.0
1,17.8,21.3,28,87,75.0
22,17.8,21.400000000000002,33,76,75.0
23,17.8,21.400000000000002,43,98,75.0
24,17.9,21.9,40,71,44.5
2,18.2,19.7,46,80,67.1
3,18.9,20.2,27,89,85.0
