,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.1,12.2,32,96.0,35.8
0,6.2,9.6,46,59.0,62.0
2,6.2,12.8,47,64.0,75.0
1,6.2,14.3,30,53.0,67.1
3,6.3,12.1,23,57.0,44.5
4,6.3,12.2,43,88.0,44.5
1,6.7,10.7,41,72.0,75.0
0,7.0,11.1,31,98.0,55.0
2,7.1,11.1,18,77.0,55.0
3,7.2,10.7,28,89.0,55.0
1,7.4,11.0,23,44.0,67.1
5,7.4,13.100000000000001,29,92.0,55.0
2,7.9,11.5,27,93.0,85.0
3,7.9,11.8,31,64.0,85.0
0,8.0,16.2,43,58.0,55.0
4,8.2,11.399999999999999,19,48.0,55.0
5,8.2,11.399999999999999,16,93.0,35.8
1,8.2,16.6,48,86.0,40.0
6,8.3,12.9,37,83.0,35.8
7,8.5,11.1,32,71.0,67.1
4,8.6,11.7,42,63.0,67.1
2,8.6,17.2,15,79.0,62.0
8,8.7,11.399999999999999,30,69.0,75.0
3,8.7,17.0,37,60.0,85.0
9,8.8,11.8,40,96.0,75.0
5,9.0,12.3,31,80.0,75.0
6,9.0,12.6,18,72.0,75.0
4,9.3,18.9,32,92.0,35.8
7,9.8,13.3,38,57.0,40.0
0,10.1,13.5,49,77.0,44.5
0,10.5,15.6,41,71.0,55.0
1,10.5,16.1,33,75.0,40.0
2,10.5,17.0,40,79.0,40.0
1,10.7,13.799999999999999,43,65.0,85.0
2,10.8,15.9,41,91.0,35.8
3,10.9,14.5,17,88.0,40.0
8,11.0,14.9,21,98.0,75.0
3,11.2,16.6,21,39.0,62.0
4,11.4,15.4,35,76.0,44.5
0,11.5,16.2,36,60.0,55.0
0,11.8,15.600000000000001,40,88.0,35.8
4,12.0,17.2,39,51.0,55.0
1,12.2,14.6,45,63.0,67.1
0,12.2,14.6,43,82.0,35.8
1,12.4,14.600000000000001,31,87.0,85.0
2,12.4,14.9,18,46.0,67.1
3,12.8,14.9,19,73.0,62.0
0,12.8,17.6,22,84.0,40.0
4,12.9,15.7,35,57.0,55.0
1,12.9,17.5,42,78.0,35.8
5,13.1,16.8,42,72.0,67.1
6,13.2,16.0,47,71.0,35.8
7,13.3,16.7,27,69.0,62.0
2,13.3,16.900000000000002,39,63.0,40.0
8,13.4,16.4,39,97.0,40.0
9,13.6,16.4,31,97.0,44.5
3,13.9,17.7,32,59.0,67.1
0,14.3,15.5,48,59.0,75.0
10,14.3,16.900000000000002,23,74.0,75.0
4,14.3,17.7,43,81.0,85.0
5,14.3,18.5,43,92.0,67.1
1,14.4,15.5,18,84.0,44.5
2,14.5,15.5,28,41.0,35.8
3,14.6,16.2,18,67.0,67.1
11,14.6,17.7,40,64.0,44.5
12,14.8,17.1,29,90.0,67.1
6,14.8,20.700000000000003,31,94.0,67.1
13,14.9,16.9,38,64.0,44.5
4,14.9,17.0,19,53.0,67.1
14,14.9,17.5,44,74.0,85.0
15,15.0,18.6,38,52.0,35.8
5,15.1,18.8,25,74.0,67.1
6,15.3,16.6,28,69.0,44.5
16,15.3,17.3,42,75.0,62.0
17,15.4,18.4,34,57.0,44.5
18,15.6,18.1,36,79.0,55.0
7,15.6,18.2,15,60.0,85.0
8,15.6,18.7,32,59.0,62.0
9,15.8,17.5,16,30.0,40.0
0,16.4,21.299999999999997,20,35.0,75.0
1,16.5,21.1,20,31.0,67.1
19,16.7,19.3,32,53.0,75.0
20,17.0,19.1,43,98.0,35.8
21,17.0,20.0,22,71.0,40.0
22,17.1,20.8,31,85.0,35.8
2,17.1,21.0,19,80.0,67.1
23,17.3,19.7,45,78.0,62.0
24,17.5,19.9,29,66.0,62.0
25,17.6,21.8,17,62.0,44.5
26,17.8,22.0,35,61.0,75.0
27,17.9,20.2,47,84.0,67.1
28,17.9,20.599999999999998,22,34.0,55.0
3,18.5,22.0,49,69.0,55.0
4,18.8,22.9,23,35.0,40.0
5,19.0,22.9,36,91.0,67.1
