,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.1,10.899999999999999,27,99,67.1
1,6.6,11.7,17,91,75.0
0,8.1,10.0,15,96,40.0
0,8.3,16.700000000000003,39,93,40.0
1,8.7,18.6,38,67,67.1
2,9.3,18.200000000000003,31,64,75.0
0,9.4,11.9,28,92,75.0
1,9.6,10.7,21,88,40.0
1,9.6,12.0,39,68,44.5
3,9.6,19.0,16,67,75.0
4,9.7,18.1,37,90,40.0
2,9.8,11.0,46,90,75.0
0,10.0,16.7,24,55,55.0
2,10.3,13.9,35,91,62.0
2,10.8,15.5,18,61,35.8
3,11.1,13.7,45,79,75.0
0,12.0,14.6,24,63,85.0
1,12.1,14.399999999999999,40,95,75.0
0,12.4,14.1,38,98,40.0
2,12.5,15.2,27,65,40.0
1,12.6,13.9,18,76,85.0
3,13.0,16.5,20,78,44.5
4,13.0,17.4,43,99,75.0
5,13.3,15.8,21,93,62.0
2,13.5,15.4,29,93,75.0
6,13.6,15.8,25,90,67.1
7,13.8,15.8,37,55,75.0
8,13.9,19.4,35,51,62.0
3,14.7,15.7,47,79,75.0
0,14.8,20.1,49,84,62.0
1,15.0,19.1,26,45,62.0
0,15.1,16.8,21,74,35.8
1,15.3,16.400000000000002,33,89,44.5
2,15.4,16.8,17,39,75.0
3,15.5,16.8,21,32,40.0
9,15.6,18.1,31,55,55.0
4,15.7,18.9,49,67,55.0
10,15.9,20.2,35,56,35.8
5,16.4,18.099999999999998,29,64,35.8
11,16.4,19.7,35,52,75.0
12,16.7,18.8,36,88,44.5
13,16.9,19.9,29,76,75.0
6,17.0,18.8,44,80,85.0
7,17.2,18.5,19,69,75.0
8,17.3,18.5,17,39,85.0
9,17.4,18.599999999999998,46,56,75.0
14,17.6,19.6,36,64,85.0
10,18.8,20.400000000000002,20,39,40.0
