,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.2,10.8,40,96.0,35.8
1,6.5,12.3,44,88.0,40.0
2,6.8,11.1,38,59.0,67.1
3,7.0,12.0,28,88.0,35.8
4,7.4,11.4,44,84.0,67.1
5,7.8,11.899999999999999,28,52.0,67.1
6,8.5,12.5,48,79.0,85.0
7,8.9,13.4,37,82.0,55.0
0,9.7,12.6,21,65.0,67.1
0,9.7,19.5,28,77.0,62.0
0,10.8,15.9,44,80.0,40.0
1,11.0,13.5,16,58.0,40.0
1,11.1,16.2,40,98.0,55.0
1,11.1,19.1,30,63.0,67.1
2,11.2,23.2,44,99.0,75.0
2,11.7,14.0,15,45.0,75.0
2,12.0,17.2,30,53.0,85.0
3,12.7,15.2,22,42.0,67.1
3,12.8,19.3,18,72.0,62.0
4,12.9,18.2,34,73.0,44.5
0,14.1,16.1,46,57.0,44.5
5,14.6,20.4,39,89.0,35.8
2,15.7,18.099999999999998,16,46.0,75.0
1,15.7,18.599999999999998,30,67.0,62.0
3,15.8,18.900000000000002,36,74.0,40.0
4,15.8,19.400000000000002,36,54.0,62.0
5,17.1,19.400000000000002,49,98.0,67.1
6,18.2,21.3,25,96.0,85.0
7,18.8,21.0,26,41.0,35.8
