,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.0,12.7,28,91,67.1
0,8.1,16.7,17,75,35.8
1,8.2,12.6,28,39,44.5
1,8.6,16.9,29,87,75.0
0,8.7,10.899999999999999,44,96,75.0
2,8.7,17.5,37,49,85.0
3,8.8,17.1,21,66,62.0
1,8.9,11.8,37,55,75.0
2,9.1,11.8,44,65,44.5
3,9.2,10.399999999999999,17,31,44.5
0,9.2,15.1,23,46,67.1
4,9.8,18.9,27,60,75.0
5,9.8,19.4,22,84,75.0
1,9.9,13.5,44,63,40.0
2,10.4,12.600000000000001,42,93,67.1
3,10.7,13.6,36,93,85.0
0,10.9,16.1,33,89,55.0
4,11.0,13.2,41,70,75.0
1,11.5,16.9,44,64,44.5
3,11.7,18.299999999999997,45,91,44.5
2,11.7,18.7,31,92,40.0
5,12.0,15.8,43,90,62.0
1,12.1,16.0,39,49,35.8
0,12.1,16.2,28,77,75.0
2,12.8,15.600000000000001,44,55,40.0
0,13.1,15.3,48,93,67.1
1,13.1,16.6,25,72,40.0
3,13.2,15.399999999999999,17,53,44.5
4,13.2,16.3,31,99,55.0
5,13.6,16.0,21,86,44.5
4,13.6,20.1,22,42,62.0
6,13.9,16.4,29,67,40.0
7,13.9,16.5,47,83,62.0
8,14.1,17.3,20,65,67.1
0,14.6,17.9,39,55,35.8
0,15.1,16.2,15,97,40.0
1,15.5,16.8,48,85,85.0
1,15.9,19.1,29,82,67.1
9,16.3,20.2,22,72,35.8
2,16.7,19.2,48,61,44.5
10,16.9,19.799999999999997,35,52,40.0
3,17.0,18.2,18,35,75.0
12,17.0,19.2,28,66,55.0
11,17.0,23.7,21,50,40.0
13,17.3,19.6,43,85,44.5
14,17.7,22.9,21,68,75.0
16,17.9,20.099999999999998,36,77,44.5
15,17.9,20.599999999999998,33,84,55.0
17,18.0,20.8,18,38,40.0
4,18.3,20.1,23,74,35.8
5,18.4,20.0,17,47,75.0
6,18.8,20.1,48,79,62.0
