,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.3,7.9,20,43.0,55.0
1,6.6,7.8999999999999995,38,68.0,55.0
2,6.8,8.6,27,98.0,75.0
0,7.8,10.5,21,49.0,40.0
3,9.8,11.8,26,56.0,55.0
0,10.1,14.5,20,64.0,35.8
1,10.3,13.700000000000001,39,72.0,75.0
2,10.5,14.6,39,87.0,85.0
4,10.9,12.6,39,97.0,67.1
3,10.9,14.100000000000001,27,68.0,35.8
0,12.4,15.2,21,95.0,62.0
0,12.4,17.6,31,64.0,75.0
1,13.0,18.0,24,62.0,85.0
2,13.1,18.7,39,91.0,55.0
1,13.5,15.9,15,41.0,75.0
3,13.5,18.9,49,97.0,35.8
2,13.7,16.599999999999998,22,92.0,75.0
0,14.2,15.899999999999999,15,67.0,75.0
4,14.2,19.2,40,90.0,55.0
3,14.4,16.6,27,46.0,44.5
5,14.4,21.3,40,65.0,55.0
1,14.6,16.4,27,98.0,85.0
2,15.0,18.0,32,54.0,75.0
0,15.1,17.4,42,84.0,40.0
3,15.6,17.1,16,47.0,44.5
4,15.6,17.2,21,34.0,67.1
1,15.7,18.099999999999998,48,97.0,44.5
5,15.9,18.0,21,35.0,67.1
2,16.1,20.8,21,62.0,44.5
3,16.7,18.7,25,45.0,67.1
4,17.1,20.3,29,76.0,75.0
5,17.2,19.5,41,55.0,62.0
4,17.2,19.7,34,68.0,40.0
5,17.5,20.9,16,98.0,40.0
6,17.6,19.700000000000003,46,81.0,85.0
6,17.6,20.200000000000003,15,61.0,35.8
8,17.6,20.700000000000003,38,67.0,55.0
7,17.6,21.200000000000003,17,49.0,62.0
7,18.4,20.5,49,90.0,35.8
8,18.8,22.0,47,65.0,67.1
