,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.9,10.600000000000001,24,57.0,44.5
1,7.4,9.7,22,96.0,55.0
0,7.6,13.2,29,69.0,44.5
0,10.0,13.0,38,65.0,44.5
1,10.3,14.100000000000001,20,33.0,85.0
2,11.1,14.2,16,93.0,40.0
0,12.1,14.7,23,89.0,55.0
1,12.4,15.0,34,53.0,75.0
0,13.2,18.4,25,46.0,75.0
1,13.4,18.9,16,86.0,85.0
2,13.9,17.7,47,86.0,62.0
0,14.7,17.0,27,65.0,55.0
3,14.8,23.6,45,88.0,75.0
2,15.0,21.2,27,50.0,40.0
0,15.1,18.0,42,81.0,44.5
4,15.7,18.4,49,91.0,67.1
1,15.8,17.5,22,34.0,55.0
5,17.1,19.3,34,93.0,75.0
1,18.1,20.700000000000003,40,90.0,85.0
2,19.5,23.2,17,74.0,75.0
3,19.7,22.599999999999998,36,94.0,85.0
4,19.9,22.599999999999998,45,85.0,85.0
5,19.9,22.799999999999997,41,99.0,75.0
