,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.0,10.1,37,48,75.0
1,6.3,11.5,37,82,62.0
2,6.6,11.899999999999999,36,71,75.0
3,7.9,12.0,45,74,75.0
0,8.1,16.9,24,80,75.0
1,8.3,16.6,48,95,35.8
2,9.2,17.4,20,30,35.8
3,9.2,18.2,38,59,35.8
4,9.4,18.200000000000003,42,66,75.0
0,9.7,11.899999999999999,15,53,62.0
1,9.9,12.3,45,75,67.1
0,10.4,15.7,43,70,62.0
5,10.5,20.4,41,71,55.0
1,11.2,18.1,21,36,62.0
6,11.2,19.5,28,93,75.0
2,11.4,17.0,31,96,55.0
7,11.6,19.7,34,45,44.5
2,11.7,14.2,24,93,62.0
0,14.3,16.3,39,53,67.1
1,14.6,17.3,26,63,35.8
2,15.9,20.0,16,70,75.0
3,18.4,21.599999999999998,47,94,85.0
4,18.5,20.7,32,93,44.5
0,19.0,21.6,45,67,75.0
1,19.8,22.8,19,59,75.0
2,20.0,23.7,25,45,40.0
