,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.1,14.6,15,96,55.0
1,6.4,12.100000000000001,25,40,67.1
2,6.6,12.8,16,78,75.0
0,6.7,10.7,16,56,67.1
3,6.9,12.600000000000001,42,86,62.0
1,7.1,11.6,34,76,40.0
2,7.2,10.8,15,87,62.0
3,7.2,11.7,33,44,40.0
0,7.6,15.7,18,77,67.1
1,7.7,15.8,18,67,55.0
2,7.7,17.0,40,58,40.0
0,7.8,11.1,22,54,85.0
1,8.1,11.3,21,73,67.1
2,8.1,11.5,41,71,44.5
5,8.2,11.399999999999999,44,79,85.0
3,8.2,11.799999999999999,24,92,67.1
4,8.2,12.0,30,61,35.8
4,8.3,11.200000000000001,37,64,67.1
1,8.4,17.4,32,69,75.0
0,8.4,18.3,23,52,85.0
2,8.7,19.4,48,71,40.0
6,9.0,12.5,42,74,67.1
7,9.1,12.399999999999999,44,87,44.5
8,9.5,13.2,48,87,62.0
3,9.5,18.0,17,35,35.8
4,9.6,18.5,26,71,85.0
5,9.9,18.200000000000003,19,33,85.0
6,9.9,18.8,31,73,75.0
0,10.1,16.6,26,78,85.0
0,10.4,15.5,20,43,40.0
1,10.7,14.2,43,54,75.0
2,10.8,13.9,45,97,75.0
1,10.9,16.3,40,73,75.0
2,10.9,17.3,36,77,67.1
0,11.3,13.5,33,71,35.8
3,11.3,14.600000000000001,34,86,85.0
0,11.5,14.4,23,78,67.1
3,11.6,17.3,39,60,85.0
0,12.0,15.8,47,77,55.0
0,12.1,15.8,44,80,67.1
1,12.2,14.299999999999999,18,80,67.1
2,12.2,14.5,46,66,75.0
1,12.3,15.700000000000001,35,69,55.0
3,12.4,15.2,18,69,75.0
5,12.5,14.8,18,33,40.0
4,12.5,15.3,39,83,67.1
1,12.7,15.1,18,31,40.0
2,12.9,16.6,29,54,75.0
6,13.1,16.1,29,56,55.0
3,13.1,16.7,43,86,44.5
4,13.2,18.4,36,72,67.1
7,13.4,15.4,41,97,75.0
8,13.6,15.899999999999999,16,49,55.0
9,13.6,16.3,19,72,55.0
5,13.9,17.8,16,43,44.5
6,13.9,18.4,44,65,44.5
0,14.0,15.7,37,82,44.5
10,14.0,16.5,25,69,67.1
7,14.0,17.4,34,75,35.8
1,14.1,16.5,24,64,44.5
8,14.1,18.6,33,64,44.5
11,14.2,16.2,37,93,75.0
9,14.2,17.5,24,90,75.0
10,14.3,17.8,27,58,55.0
2,14.5,17.1,31,51,75.0
12,14.7,16.9,39,71,62.0
11,14.7,20.299999999999997,41,68,44.5
3,15.3,16.8,27,82,85.0
4,15.5,16.6,22,83,40.0
0,15.5,18.5,31,41,85.0
13,15.5,18.8,32,96,67.1
14,15.5,19.1,37,61,55.0
1,15.5,21.3,34,84,35.8
5,15.6,17.0,16,36,55.0
15,15.7,18.2,40,98,75.0
6,15.7,18.9,34,55,62.0
16,15.9,18.7,33,83,40.0
2,16.1,19.400000000000002,29,54,55.0
17,16.5,19.2,15,47,75.0
3,16.5,19.8,17,42,67.1
4,16.6,19.700000000000003,16,58,85.0
5,16.9,20.2,40,75,75.0
18,17.3,19.8,25,93,67.1
20,17.4,20.7,31,80,75.0
19,17.4,22.7,31,80,35.8
21,17.5,21.1,17,47,85.0
6,17.7,20.7,45,62,40.0
22,17.9,20.2,16,45,75.0
7,18.0,21.1,40,99,85.0
23,18.0,21.3,19,62,75.0
8,18.1,21.5,41,62,44.5
9,18.4,22.5,38,79,67.1
10,18.5,22.0,15,71,75.0
