,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
1,6.2,10.3,38,77.0,75.0
0,6.2,13.100000000000001,25,80.0,62.0
0,7.2,9.2,34,86.0,44.5
2,7.7,12.100000000000001,22,75.0,75.0
1,8.3,9.600000000000001,47,88.0,75.0
2,8.4,10.0,15,44.0,44.5
0,9.6,13.7,22,97.0,44.5
1,9.7,12.1,48,83.0,44.5
2,9.9,12.4,22,94.0,55.0
0,10.3,16.200000000000003,45,60.0,62.0
3,10.4,12.4,27,54.0,35.8
4,10.7,13.1,42,96.0,55.0
3,10.8,15.100000000000001,34,99.0,40.0
1,10.8,16.5,18,68.0,44.5
5,11.4,14.0,31,61.0,67.1
6,11.4,14.100000000000001,40,78.0,35.8
2,11.5,17.2,42,77.0,62.0
7,12.0,14.8,29,99.0,55.0
0,12.7,14.2,19,53.0,67.1
1,13.0,14.1,43,98.0,75.0
0,13.1,16.3,28,41.0,35.8
1,13.7,15.7,21,70.0,55.0
2,13.7,17.599999999999998,43,57.0,75.0
2,14.2,15.399999999999999,46,88.0,67.1
0,14.2,18.6,35,52.0,85.0
3,14.3,16.3,48,83.0,85.0
3,14.6,16.1,24,79.0,75.0
4,14.7,18.2,16,71.0,75.0
5,14.9,17.4,22,78.0,67.1
6,14.9,17.4,44,54.0,67.1
9,15.0,17.0,40,51.0,44.5
7,15.0,17.4,42,56.0,75.0
4,15.0,17.6,45,81.0,44.5
1,15.0,18.5,46,91.0,44.5
8,15.0,20.0,44,93.0,75.0
0,15.2,17.0,32,58.0,35.8
10,15.4,18.1,38,98.0,85.0
2,15.7,18.9,32,53.0,44.5
1,15.8,17.400000000000002,28,44.0,67.1
11,15.8,18.0,25,39.0,67.1
13,15.9,19.5,40,65.0,62.0
12,15.9,21.3,42,94.0,62.0
14,16.8,19.7,46,84.0,85.0
2,16.9,18.0,40,95.0,75.0
15,16.9,20.2,46,63.0,62.0
3,17.3,19.0,20,84.0,40.0
17,17.5,19.7,36,98.0,40.0
18,17.6,20.700000000000003,37,96.0,44.5
19,18.0,23.3,35,92.0,35.8
4,18.1,22.5,21,98.0,35.8
5,18.8,20.1,36,63.0,62.0
