,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.1,9.7,18,43.0,62.0
1,6.5,9.9,21,38.0,75.0
2,6.9,12.600000000000001,41,86.0,55.0
4,7.0,10.0,15,67.0,40.0
3,7.0,10.8,15,50.0,62.0
5,7.6,11.6,48,96.0,35.8
6,8.1,11.7,16,67.0,85.0
0,8.9,16.9,19,36.0,85.0
1,9.7,14.5,39,60.0,62.0
0,10.2,13.6,41,96.0,75.0
2,10.2,14.2,27,91.0,40.0
3,10.3,14.4,41,99.0,75.0
1,10.5,16.9,45,66.0,62.0
3,10.6,13.8,34,95.0,44.5
2,10.6,14.8,19,55.0,75.0
4,10.7,14.799999999999999,49,75.0,67.1
4,11.0,14.5,32,53.0,85.0
5,11.7,16.799999999999997,17,87.0,75.0
0,12.1,17.2,35,65.0,85.0
1,12.3,19.4,47,90.0,44.5
0,12.5,16.3,22,85.0,55.0
2,12.6,17.8,23,77.0,55.0
1,12.7,17.6,32,88.0,35.8
2,13.3,15.9,19,81.0,35.8
3,13.6,21.0,27,92.0,75.0
3,13.7,16.0,19,81.0,85.0
0,14.1,15.799999999999999,37,54.0,55.0
4,14.6,16.7,43,87.0,85.0
4,14.7,20.2,28,94.0,67.1
5,14.8,17.0,43,74.0,40.0
0,15.0,17.9,37,55.0,44.5
1,15.9,18.0,30,43.0,75.0
1,16.8,18.8,48,78.0,67.1
6,17.4,19.599999999999998,23,42.0,67.1
2,17.4,20.099999999999998,49,67.0,75.0
3,19.0,21.1,29,74.0,35.8
4,20.2,22.5,47,74.0,67.1
5,20.8,23.3,47,75.0,85.0
6,20.8,23.7,23,78.0,55.0
