,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.2,10.1,17,37.0,40.0
0,6.9,7.7,20,74.0,75.0
1,7.0,7.9,37,55.0,40.0
1,7.6,10.8,39,58.0,62.0
2,8.1,8.7,24,59.0,35.8
2,8.2,11.7,33,91.0,75.0
3,8.3,9.100000000000001,31,60.0,40.0
3,8.5,14.0,19,61.0,67.1
4,9.4,13.3,27,88.0,35.8
5,9.7,14.399999999999999,34,82.0,85.0
0,10.8,14.8,31,98.0,55.0
1,11.1,15.1,31,97.0,62.0
2,11.3,14.600000000000001,26,52.0,44.5
3,11.4,15.0,16,42.0,44.5
4,11.8,17.8,48,69.0,62.0
0,13.5,15.6,43,76.0,55.0
0,14.3,21.9,38,87.0,35.8
1,14.4,17.7,38,99.0,75.0
0,14.6,17.0,31,79.0,44.5
1,14.7,18.4,40,52.0,75.0
2,15.9,18.0,43,98.0,75.0
0,15.9,22.3,35,91.0,40.0
3,16.6,20.200000000000003,39,90.0,75.0
1,17.3,20.400000000000002,47,65.0,62.0
2,17.3,20.400000000000002,41,73.0,55.0
3,17.9,21.299999999999997,35,75.0,44.5
4,18.8,22.0,41,81.0,75.0
