,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.1,10.6,31,65.0,55.0
0,6.1,13.3,48,76.0,75.0
1,6.2,13.100000000000001,32,63.0,40.0
2,6.5,12.4,31,73.0,55.0
1,6.5,13.6,29,43.0,75.0
2,6.7,10.9,44,70.0,67.1
4,7.0,13.6,16,28.0,75.0
5,7.1,13.7,35,66.0,35.8
6,7.4,12.9,42,84.0,85.0
7,7.4,13.0,36,74.0,75.0
1,7.6,10.2,37,60.0,62.0
0,7.6,11.899999999999999,15,52.0,40.0
8,7.7,14.3,18,43.0,35.8
9,8.0,14.9,15,80.0,55.0
0,8.1,17.6,42,99.0,67.1
1,8.3,17.3,19,64.0,44.5
2,8.3,19.1,24,98.0,35.8
4,8.6,12.2,18,31.0,62.0
2,8.7,12.0,47,88.0,62.0
4,9.0,11.7,44,98.0,40.0
4,9.0,18.0,18,73.0,44.5
5,9.3,17.5,29,84.0,75.0
6,9.4,17.5,28,93.0,75.0
7,9.4,17.8,47,99.0,44.5
9,9.5,17.9,33,51.0,40.0
8,9.5,18.2,20,77.0,75.0
10,9.7,18.5,28,79.0,62.0
5,9.8,13.5,47,75.0,62.0
0,10.3,13.9,41,95.0,75.0
1,10.3,17.6,36,85.0,44.5
2,10.6,15.3,22,52.0,55.0
0,10.6,17.2,20,67.0,75.0
1,10.8,16.9,27,63.0,35.8
6,10.9,16.1,27,76.0,35.8
0,11.4,13.4,29,60.0,75.0
4,11.4,14.5,19,94.0,75.0
2,11.5,17.0,42,82.0,44.5
5,11.6,14.7,28,83.0,62.0
6,11.6,15.399999999999999,16,87.0,67.1
0,11.8,15.100000000000001,32,74.0,67.1
4,11.9,18.6,49,70.0,75.0
0,12.2,14.299999999999999,17,90.0,75.0
1,12.4,17.6,16,26.0,40.0
1,12.7,15.2,24,96.0,40.0
2,12.7,17.0,45,77.0,75.0
4,12.9,15.100000000000001,16,94.0,55.0
5,12.9,15.7,17,39.0,67.1
6,12.9,15.8,37,55.0,67.1
7,13.0,15.2,43,86.0,85.0
8,13.2,15.299999999999999,43,68.0,85.0
9,13.8,19.5,21,56.0,85.0
10,13.9,16.1,29,62.0,85.0
0,14.0,18.0,39,59.0,62.0
1,14.4,17.9,28,60.0,75.0
11,14.4,17.9,28,62.0,75.0
13,14.6,17.4,16,89.0,62.0
14,14.6,17.4,42,97.0,55.0
12,14.6,18.5,16,59.0,75.0
15,14.7,18.7,24,83.0,85.0
16,14.8,17.5,48,75.0,75.0
17,15.3,17.7,35,73.0,75.0
18,15.4,17.9,46,85.0,44.5
19,15.4,18.3,30,96.0,75.0
0,15.8,17.0,44,75.0,44.5
0,15.8,19.0,16,79.0,55.0
20,15.8,19.3,29,67.0,44.5
21,15.9,17.9,20,96.0,44.5
1,15.9,18.3,24,81.0,55.0
22,16.0,20.8,26,40.0,67.1
23,16.3,19.5,24,94.0,55.0
1,16.3,20.6,41,89.0,75.0
24,16.4,18.799999999999997,33,68.0,44.5
25,17.0,20.2,22,80.0,75.0
2,17.0,21.6,29,87.0,62.0
26,17.2,20.2,47,85.0,44.5
27,17.4,19.5,43,82.0,85.0
28,17.5,20.3,16,33.0,35.8
29,17.8,20.5,32,50.0,55.0
4,18.8,21.900000000000002,32,52.0,75.0
