,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,9.0,17.1,15,59,40.0
0,9.2,12.1,19,78,85.0
0,9.3,13.5,42,87,55.0
1,9.9,13.2,26,71,75.0
1,10.2,19.1,38,63,85.0
2,10.3,18.9,37,55,35.8
1,10.4,17.0,47,77,75.0
3,10.6,19.1,18,28,75.0
2,10.9,16.3,22,75,85.0
2,11.2,14.799999999999999,34,49,40.0
4,11.6,20.2,20,36,75.0
0,12.6,21.2,44,61,35.8
1,13.9,20.4,43,94,40.0
2,14.1,19.3,23,74,44.5
0,14.2,18.4,44,87,75.0
1,14.4,16.7,32,62,75.0
2,14.4,17.2,31,87,40.0
3,14.4,21.3,39,99,75.0
3,14.6,17.5,39,66,75.0
4,18.7,20.8,20,68,75.0
0,18.8,22.9,37,69,62.0
1,19.2,22.2,26,54,40.0
2,19.4,22.5,31,70,62.0
3,19.8,23.400000000000002,44,76,40.0
