,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.4,10.8,28,48.0,67.1
0,7.0,12.7,41,74.0,35.8
1,7.3,14.0,21,32.0,67.1
1,7.4,14.600000000000001,17,37.0,35.8
2,7.5,10.6,42,89.0,75.0
3,8.0,11.3,39,68.0,35.8
2,8.2,13.399999999999999,29,46.0,55.0
0,8.3,12.0,16,93.0,85.0
4,8.4,12.5,31,74.0,44.5
1,8.5,12.0,31,97.0,75.0
3,8.7,13.0,18,87.0,55.0
3,8.8,12.100000000000001,45,94.0,35.8
2,8.8,12.4,41,60.0,40.0
4,8.8,13.0,36,76.0,55.0
4,8.9,11.9,42,83.0,62.0
6,9.0,13.4,37,92.0,75.0
5,9.0,13.5,45,78.0,55.0
7,9.0,14.3,49,67.0,40.0
8,9.2,13.5,28,48.0,44.5
5,9.4,12.7,48,90.0,55.0
9,9.5,14.1,35,87.0,75.0
6,9.6,14.6,46,97.0,75.0
10,9.6,14.7,44,67.0,75.0
7,9.7,14.1,46,57.0,85.0
8,10.0,13.2,48,93.0,35.8
0,10.3,16.5,26,55.0,44.5
1,10.6,13.7,32,86.0,55.0
11,10.8,15.100000000000001,41,75.0,85.0
2,11.3,15.0,36,69.0,40.0
12,11.3,15.9,17,83.0,40.0
3,11.3,15.9,31,99.0,44.5
5,11.6,21.799999999999997,38,70.0,62.0
4,11.7,15.6,37,62.0,75.0
5,11.9,15.2,22,70.0,55.0
15,11.9,16.0,33,99.0,75.0
0,12.3,14.700000000000001,42,79.0,55.0
6,12.3,16.1,41,52.0,35.8
1,12.4,14.600000000000001,18,41.0,75.0
2,12.5,14.9,37,61.0,40.0
0,12.5,18.0,26,88.0,62.0
3,12.7,14.899999999999999,27,64.0,40.0
4,12.8,15.200000000000001,22,51.0,75.0
5,12.8,16.1,24,95.0,62.0
1,12.9,18.1,23,92.0,40.0
6,13.1,16.0,46,71.0,35.8
7,13.4,15.8,41,88.0,75.0
7,13.5,17.9,26,36.0,67.1
8,13.6,16.8,36,60.0,67.1
8,13.7,15.899999999999999,36,65.0,40.0
2,13.7,19.7,28,63.0,55.0
9,13.8,17.7,45,86.0,62.0
10,14.1,16.2,41,55.0,75.0
9,14.1,18.4,41,72.0,62.0
0,14.3,19.4,31,85.0,35.8
10,14.4,18.1,30,84.0,67.1
11,14.4,19.8,19,39.0,85.0
0,14.5,16.3,17,68.0,85.0
12,14.5,18.2,36,87.0,44.5
1,14.6,17.4,32,54.0,75.0
11,14.8,20.700000000000003,49,63.0,62.0
3,14.9,21.1,17,40.0,67.1
15,15.0,17.4,15,56.0,85.0
16,15.1,17.9,29,60.0,35.8
18,15.1,18.2,47,75.0,35.8
12,15.1,19.0,37,61.0,62.0
17,15.1,19.0,20,34.0,75.0
0,15.2,18.3,35,65.0,35.8
2,15.3,17.6,18,88.0,40.0
1,15.6,19.5,37,71.0,40.0
19,15.9,18.3,42,65.0,75.0
20,16.0,18.1,17,62.0,62.0
21,16.1,18.6,30,79.0,35.8
3,16.2,17.8,48,66.0,40.0
22,16.3,19.8,47,75.0,55.0
2,16.3,21.200000000000003,42,90.0,75.0
4,16.6,18.1,17,99.0,40.0
23,16.6,19.6,17,49.0,40.0
24,17.0,19.2,24,85.0,35.8
3,17.0,19.5,42,70.0,35.8
25,17.4,20.599999999999998,29,71.0,40.0
26,17.7,19.9,17,51.0,62.0
4,17.8,20.5,22,47.0,55.0
27,18.0,21.0,40,64.0,62.0
5,18.1,20.5,37,57.0,44.5
6,18.1,21.200000000000003,29,70.0,55.0
7,18.2,21.2,22,87.0,62.0
8,18.3,21.3,27,52.0,55.0
9,18.8,20.900000000000002,47,78.0,75.0
10,19.4,21.9,31,44.0,44.5
11,19.5,21.5,18,90.0,67.1
12,20.6,23.6,29,83.0,40.0
