,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.4,10.8,41,66,55.0
1,8.1,12.7,17,97,67.1
0,8.4,16.5,19,76,40.0
2,8.6,14.899999999999999,21,68,55.0
3,8.7,13.399999999999999,26,60,40.0
1,9.0,17.3,39,55,75.0
2,9.2,17.299999999999997,39,63,75.0
0,9.5,11.7,25,52,75.0
3,9.6,19.299999999999997,21,70,40.0
1,9.9,13.5,19,72,67.1
2,9.9,15.8,17,92,40.0
4,9.9,20.3,29,71,75.0
4,10.1,14.1,17,87,55.0
5,10.4,18.700000000000003,48,81,62.0
6,10.5,19.4,28,50,75.0
5,10.9,15.100000000000001,40,95,75.0
0,10.9,16.4,43,78,85.0
3,12.4,17.6,40,86,55.0
1,13.2,20.799999999999997,32,54,75.0
0,14.1,16.3,36,67,85.0
1,14.3,17.400000000000002,21,92,62.0
2,14.3,21.6,21,97,44.5
2,16.2,19.8,40,64,85.0
4,16.9,19.299999999999997,28,79,67.1
3,16.9,19.4,21,83,75.0
5,17.2,19.8,18,91,85.0
6,18.1,21.6,37,82,35.8
0,18.2,23.0,34,61,75.0
1,18.9,21.299999999999997,24,79,75.0
2,19.3,22.0,26,50,40.0
