,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.1,7.199999999999999,41,69,44.5
0,6.4,12.4,38,96,44.5
1,6.8,8.6,23,41,75.0
1,6.9,11.0,20,34,44.5
2,7.1,8.7,38,89,44.5
3,7.6,9.1,17,51,67.1
0,8.0,16.3,41,86,44.5
2,8.3,13.9,25,37,40.0
1,9.0,17.8,43,83,62.0
4,9.1,10.299999999999999,38,59,85.0
5,9.2,10.899999999999999,16,42,62.0
6,9.2,12.0,20,97,55.0
3,9.3,16.4,39,61,85.0
2,9.4,17.5,32,79,67.1
0,9.7,12.299999999999999,39,81,35.8
3,9.7,19.299999999999997,42,57,40.0
4,9.9,14.2,15,59,67.1
4,9.9,18.0,45,72,40.0
5,10.1,16.6,34,96,55.0
1,10.4,12.7,37,86,35.8
0,10.4,15.600000000000001,20,58,85.0
2,10.6,13.899999999999999,39,94,55.0
3,10.6,13.899999999999999,48,74,40.0
4,10.7,14.0,17,98,35.8
5,10.8,12.8,41,96,35.8
6,10.8,16.6,30,48,75.0
7,11.1,13.7,25,87,40.0
1,11.2,16.6,28,92,75.0
8,11.7,15.5,38,77,62.0
0,12.2,14.5,31,55,44.5
2,12.3,18.200000000000003,24,83,40.0
3,12.3,18.4,17,90,85.0
0,12.4,13.5,47,57,75.0
1,12.6,14.7,29,72,67.1
2,12.9,15.0,21,86,40.0
4,13.0,20.8,40,54,35.8
3,13.2,15.6,37,61,55.0
4,13.4,19.4,16,47,40.0
5,13.6,18.9,44,54,67.1
5,14.2,17.0,33,44,40.0
0,14.2,17.9,34,69,85.0
6,14.3,16.8,17,76,35.8
1,14.6,18.2,27,64,67.1
7,14.8,18.400000000000002,47,71,40.0
8,15.3,20.9,29,39,85.0
9,15.4,20.3,29,82,40.0
0,15.8,16.900000000000002,35,49,55.0
10,15.8,18.3,36,74,44.5
1,15.9,17.3,21,87,35.8
2,15.9,18.9,30,71,44.5
2,15.9,18.9,35,49,85.0
3,16.0,18.6,41,89,62.0
11,16.2,19.099999999999998,15,78,62.0
12,16.6,19.1,42,57,85.0
13,16.6,20.400000000000002,48,73,75.0
4,16.7,18.099999999999998,30,44,55.0
5,16.9,18.4,16,81,62.0
14,16.9,20.799999999999997,39,81,75.0
6,17.3,19.400000000000002,30,55,55.0
16,17.6,20.3,17,77,40.0
7,17.9,19.5,45,68,75.0
8,18.2,20.5,27,75,75.0
9,18.3,20.400000000000002,29,39,85.0
10,18.4,20.799999999999997,24,57,67.1
11,18.7,22.7,32,87,67.1
12,18.9,19.9,30,93,85.0
