,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.2,10.4,49,62.0,44.5
1,8.2,12.6,16,77.0,35.8
0,8.2,17.2,34,55.0,62.0
1,8.5,18.1,48,99.0,67.1
2,8.6,14.1,25,68.0,55.0
2,8.6,16.9,20,71.0,55.0
3,9.9,18.3,15,76.0,44.5
0,10.0,12.7,40,70.0,40.0
4,10.0,18.9,28,49.0,35.8
0,10.3,16.1,15,67.0,40.0
1,10.4,14.2,19,83.0,75.0
5,11.0,22.1,33,44.0,62.0
1,11.1,16.3,34,83.0,44.5
2,11.3,17.0,28,64.0,55.0
6,11.4,20.700000000000003,18,97.0,75.0
3,12.3,18.0,35,63.0,35.8
4,12.3,19.200000000000003,43,72.0,35.8
5,13.3,19.4,46,57.0,40.0
6,13.8,21.5,28,56.0,44.5
0,14.2,16.7,26,96.0,75.0
7,14.2,19.7,26,98.0,75.0
8,14.7,22.6,24,89.0,67.1
1,15.3,18.900000000000002,22,62.0,44.5
2,16.8,20.9,17,53.0,85.0
3,17.1,19.900000000000002,17,77.0,62.0
4,17.6,20.700000000000003,20,54.0,35.8
6,17.8,20.1,20,86.0,67.1
5,17.8,21.8,31,45.0,67.1
7,18.6,23.3,23,48.0,35.8
