,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.1,11.8,22,59.0,67.1
1,6.2,11.7,21,73.0,55.0
2,6.3,16.0,21,70.0,75.0
3,6.9,12.5,35,52.0,35.8
4,6.9,13.8,20,44.0,44.5
5,6.9,14.4,22,84.0,62.0
0,7.1,10.1,16,42.0,85.0
6,7.2,13.4,45,69.0,44.5
7,7.4,13.2,20,62.0,62.0
8,7.4,13.3,25,35.0,75.0
1,7.6,12.2,40,86.0,44.5
9,7.9,16.5,28,69.0,44.5
0,8.1,16.9,40,69.0,35.8
10,8.2,15.899999999999999,20,69.0,67.1
11,8.4,15.0,37,84.0,75.0
2,8.5,11.6,35,52.0,67.1
1,8.5,12.0,33,84.0,75.0
0,8.5,12.4,40,75.0,62.0
12,8.5,14.5,19,80.0,75.0
3,8.6,12.0,38,72.0,35.8
1,8.6,19.5,24,60.0,62.0
2,8.7,12.5,48,70.0,35.8
2,8.7,17.0,32,54.0,35.8
3,9.1,17.4,22,76.0,35.8
4,9.4,17.9,25,68.0,40.0
4,9.5,13.2,25,72.0,67.1
6,9.8,18.0,15,96.0,75.0
5,9.8,18.200000000000003,19,99.0,62.0
7,9.8,18.3,49,92.0,62.0
8,10.0,18.1,33,44.0,85.0
0,10.1,13.6,18,61.0,55.0
0,10.2,16.1,38,58.0,75.0
5,10.3,13.3,35,67.0,75.0
6,10.6,14.0,33,60.0,35.8
7,10.6,14.5,20,41.0,40.0
1,10.8,13.200000000000001,15,28.0,67.1
0,10.9,16.7,27,51.0,75.0
1,11.1,14.2,20,76.0,75.0
0,11.1,14.5,41,78.0,40.0
2,11.1,14.899999999999999,17,37.0,75.0
1,11.2,13.5,36,90.0,44.5
3,11.2,14.299999999999999,22,60.0,40.0
1,11.4,19.1,44,55.0,85.0
5,11.5,15.4,23,94.0,75.0
4,11.5,16.0,15,33.0,62.0
2,11.6,13.8,38,72.0,35.8
7,11.7,14.7,40,91.0,67.1
6,11.7,14.799999999999999,42,80.0,44.5
9,11.8,15.5,41,91.0,85.0
8,11.8,17.0,48,83.0,67.1
2,11.9,17.5,18,34.0,35.8
3,12.2,14.7,23,34.0,55.0
0,12.4,15.5,46,98.0,44.5
1,12.6,18.4,22,92.0,75.0
2,12.7,16.7,38,75.0,85.0
3,12.9,14.9,29,44.0,85.0
0,13.0,16.7,32,73.0,67.1
4,13.1,15.5,43,94.0,75.0
1,13.2,18.2,37,86.0,44.5
2,13.6,18.6,25,58.0,75.0
3,13.7,17.099999999999998,38,55.0,85.0
5,13.8,15.8,48,84.0,44.5
6,14.4,18.5,17,47.0,75.0
7,14.5,17.3,30,92.0,35.8
2,14.6,15.6,34,68.0,85.0
0,14.6,15.7,41,98.0,85.0
1,14.6,17.6,27,95.0,75.0
4,14.8,15.9,18,45.0,75.0
3,14.8,17.3,32,55.0,55.0
5,14.9,16.8,33,90.0,40.0
6,14.9,18.1,33,82.0,55.0
4,14.9,18.3,30,62.0,55.0
7,15.2,18.099999999999998,15,88.0,67.1
8,15.2,18.599999999999998,34,72.0,55.0
8,15.3,17.0,28,81.0,67.1
0,15.3,20.3,28,65.0,55.0
9,15.6,17.1,44,70.0,75.0
1,15.6,18.8,49,84.0,35.8
9,15.7,17.9,42,60.0,35.8
2,15.8,20.3,30,53.0,75.0
10,16.0,18.6,32,99.0,62.0
10,16.0,18.7,24,34.0,75.0
11,16.1,19.200000000000003,22,72.0,35.8
12,16.3,18.5,32,62.0,44.5
13,16.3,19.0,35,74.0,55.0
14,16.7,19.5,44,86.0,40.0
15,16.9,19.099999999999998,15,80.0,35.8
16,17.0,21.2,31,91.0,85.0
17,17.1,19.3,44,89.0,75.0
18,17.2,19.4,33,55.0,55.0
3,17.5,21.0,29,77.0,55.0
4,17.7,21.7,43,57.0,67.1
19,17.8,20.0,42,63.0,40.0
