,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.0,13.2,27,83.0,40.0
1,6.1,12.7,36,48.0,67.1
2,6.4,12.5,38,49.0,62.0
3,6.5,12.7,16,36.0,44.5
4,6.7,13.100000000000001,23,49.0,75.0
5,6.8,12.6,25,76.0,40.0
0,6.9,10.2,35,91.0,40.0
7,7.0,13.0,39,96.0,85.0
6,7.0,16.1,30,96.0,62.0
2,7.1,10.5,16,55.0,40.0
1,7.1,10.6,49,67.0,55.0
0,7.3,10.3,19,88.0,67.1
3,7.4,10.600000000000001,17,93.0,44.5
8,7.4,13.8,15,94.0,35.8
1,7.6,10.8,29,62.0,40.0
4,7.6,11.0,29,54.0,75.0
3,7.7,11.1,44,84.0,75.0
2,7.7,11.2,39,87.0,62.0
9,7.8,13.399999999999999,41,53.0,35.8
10,7.8,13.399999999999999,24,63.0,85.0
5,7.9,11.3,39,79.0,35.8
11,7.9,13.5,40,58.0,35.8
12,7.9,14.8,17,63.0,35.8
1,8.0,16.1,30,66.0,35.8
0,8.0,18.3,31,78.0,35.8
6,8.1,11.7,32,51.0,85.0
13,8.2,14.799999999999999,46,69.0,75.0
15,8.4,14.0,41,95.0,75.0
14,8.4,14.100000000000001,45,81.0,85.0
2,8.4,17.8,45,61.0,62.0
4,8.8,11.5,39,62.0,85.0
5,8.9,12.8,40,76.0,67.1
3,9.1,18.2,47,71.0,67.1
7,9.2,12.5,17,56.0,62.0
8,9.5,16.0,23,96.0,67.1
9,9.7,12.799999999999999,27,58.0,67.1
4,9.7,17.7,42,79.0,35.8
5,9.7,23.9,33,80.0,75.0
6,9.8,17.8,34,67.0,75.0
0,10.0,15.4,34,88.0,67.1
10,10.1,14.7,17,63.0,85.0
1,10.1,16.6,21,34.0,62.0
2,10.2,17.2,45,88.0,85.0
3,10.6,16.0,49,68.0,44.5
11,10.7,13.899999999999999,33,88.0,55.0
0,10.9,14.0,41,69.0,55.0
0,11.1,13.5,28,58.0,44.5
4,11.7,17.6,21,72.0,55.0
0,11.8,14.8,24,54.0,75.0
1,11.9,15.9,43,99.0,75.0
0,12.0,16.1,49,77.0,75.0
0,12.1,15.5,47,85.0,62.0
1,12.1,17.6,32,98.0,44.5
1,12.2,14.399999999999999,44,87.0,55.0
2,12.4,14.4,45,83.0,44.5
1,12.4,17.8,31,45.0,62.0
2,12.5,16.6,33,97.0,75.0
3,12.5,16.6,31,92.0,44.5
4,12.7,16.599999999999998,17,80.0,62.0
3,12.9,15.0,25,64.0,75.0
5,13.1,17.1,17,38.0,44.5
4,13.3,15.700000000000001,45,59.0,62.0
6,13.3,16.5,25,70.0,75.0
6,13.4,15.9,26,54.0,62.0
5,13.4,16.6,15,34.0,55.0
7,13.5,16.9,29,44.0,35.8
7,13.6,15.899999999999999,26,46.0,55.0
8,13.6,19.2,32,83.0,67.1
8,13.7,17.7,32,96.0,55.0
9,13.8,16.0,33,82.0,44.5
10,13.8,16.7,36,76.0,55.0
9,13.8,16.8,38,95.0,67.1
10,13.9,18.8,44,63.0,75.0
0,14.1,16.1,21,91.0,35.8
11,14.1,16.5,34,73.0,75.0
1,14.2,15.299999999999999,37,56.0,35.8
12,14.2,17.9,19,68.0,85.0
2,14.3,16.8,16,38.0,75.0
3,14.5,15.6,24,97.0,67.1
13,14.5,16.9,36,54.0,55.0
14,14.5,17.4,34,71.0,55.0
11,14.6,19.4,35,66.0,35.8
12,14.7,19.7,40,96.0,67.1
4,14.8,16.2,40,58.0,55.0
13,14.8,19.8,29,89.0,55.0
14,15.0,19.0,28,82.0,44.5
5,15.3,17.3,17,34.0,75.0
6,15.4,17.0,38,97.0,85.0
15,15.5,19.6,47,77.0,67.1
0,16.2,20.7,17,65.0,44.5
1,16.4,19.799999999999997,47,71.0,67.1
16,16.7,19.4,27,46.0,44.5
2,17.2,23.1,27,83.0,55.0
17,17.5,19.6,33,97.0,40.0
3,17.5,20.6,46,84.0,85.0
18,17.6,20.8,25,96.0,62.0
19,17.7,20.2,49,75.0,35.8
20,17.8,21.400000000000002,37,87.0,40.0
4,18.4,23.799999999999997,32,67.0,75.0
