,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.4,11.4,40,52,40.0
1,8.0,13.1,37,49,55.0
2,8.2,12.5,32,49,55.0
0,9.0,17.4,26,65,35.8
3,9.1,13.1,24,45,55.0
1,9.1,17.2,21,64,40.0
2,9.3,18.200000000000003,15,53,67.1
0,9.5,12.2,26,84,75.0
4,9.8,14.100000000000001,22,51,75.0
5,9.8,14.3,24,74,62.0
1,10.4,12.5,41,71,85.0
0,10.4,16.8,32,76,40.0
1,10.6,16.6,17,83,44.5
2,10.8,17.3,45,71,67.1
2,11.2,13.299999999999999,41,88,67.1
3,11.4,17.4,19,66,55.0
4,12.3,18.5,16,92,67.1
3,12.7,15.299999999999999,44,94,67.1
0,14.1,17.6,38,68,40.0
5,14.8,21.1,42,74,35.8
1,15.8,17.900000000000002,29,47,44.5
2,16.5,18.7,24,84,44.5
3,17.0,19.1,42,78,44.5
0,18.6,21.1,18,98,75.0
1,18.9,21.0,28,76,40.0
2,19.2,21.5,23,90,44.5
3,19.7,23.4,38,49,67.1
