,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,7.0,10.5,26,84.0,75.0
1,7.4,13.9,18,53.0,62.0
0,7.4,14.100000000000001,33,71.0,62.0
1,7.8,9.6,37,87.0,35.8
2,7.8,13.0,44,72.0,85.0
3,8.1,13.3,16,48.0,44.5
2,8.3,10.9,20,78.0,67.1
0,10.1,13.2,20,68.0,75.0
1,10.4,13.8,41,94.0,40.0
2,10.7,14.6,49,90.0,75.0
4,11.0,16.0,46,66.0,55.0
4,11.3,14.600000000000001,32,98.0,40.0
3,11.3,14.700000000000001,47,68.0,55.0
6,12.0,16.8,46,90.0,35.8
0,12.8,18.200000000000003,41,87.0,40.0
1,12.8,18.200000000000003,35,56.0,85.0
2,13.1,22.0,18,49.0,35.8
0,13.6,18.5,17,51.0,62.0
0,14.1,16.2,35,75.0,75.0
1,14.4,16.3,24,54.0,35.8
3,14.7,19.7,17,51.0,75.0
2,15.3,17.3,29,63.0,85.0
0,15.3,18.6,39,66.0,67.1
1,15.5,17.5,32,81.0,85.0
1,15.5,20.6,32,61.0,67.1
2,15.7,19.2,37,74.0,75.0
3,16.0,17.8,38,60.0,62.0
2,16.6,19.700000000000003,35,46.0,55.0
3,16.9,19.799999999999997,18,74.0,75.0
4,17.7,20.2,29,90.0,85.0
3,20.3,23.1,37,47.0,62.0
4,20.6,23.0,37,63.0,35.8
6,21.0,23.5,25,72.0,55.0
