,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.4,10.4,30,85.0,35.8
1,7.1,9.5,40,91.0,62.0
0,7.1,12.8,29,69.0,67.1
1,7.8,12.8,30,92.0,55.0
2,8.1,13.8,22,74.0,67.1
3,8.2,14.2,40,67.0,85.0
4,9.3,15.100000000000001,20,48.0,75.0
5,9.5,14.7,35,94.0,67.1
0,10.1,13.1,37,92.0,62.0
1,10.2,14.899999999999999,46,87.0,75.0
2,10.6,13.899999999999999,19,80.0,75.0
3,10.7,14.2,40,53.0,75.0
6,10.8,17.5,44,85.0,44.5
5,10.9,16.1,48,83.0,75.0
4,10.9,16.2,46,80.0,75.0
6,11.2,15.299999999999999,41,91.0,35.8
7,11.3,16.3,40,70.0,75.0
8,11.5,14.6,44,58.0,67.1
9,11.6,14.7,36,73.0,55.0
10,11.7,16.0,36,61.0,85.0
0,12.0,14.2,39,87.0,35.8
0,12.3,19.700000000000003,47,71.0,55.0
1,13.2,19.799999999999997,34,97.0,62.0
0,14.2,16.599999999999998,46,87.0,40.0
2,14.4,21.7,49,76.0,62.0
1,14.6,17.1,44,76.0,75.0
2,15.4,17.7,29,95.0,75.0
3,15.5,18.9,48,92.0,62.0
1,15.6,21.8,15,91.0,67.1
0,16.0,18.7,39,87.0,40.0
4,16.0,19.2,40,86.0,67.1
1,16.1,18.8,39,99.0,62.0
2,16.5,21.6,29,98.0,44.5
5,17.2,19.8,34,65.0,35.8
3,18.6,22.8,16,72.0,85.0
4,19.7,22.7,34,49.0,55.0
5,20.5,23.0,49,70.0,62.0
