,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.7,9.1,25,90.0,75.0
0,6.8,8.5,15,70.0,40.0
1,7.1,10.399999999999999,22,67.0,35.8
1,7.4,9.1,37,54.0,55.0
2,7.6,10.7,27,72.0,40.0
2,8.0,10.3,38,52.0,55.0
3,8.2,10.1,44,57.0,62.0
4,10.4,11.4,33,65.0,75.0
3,10.4,11.9,41,55.0,75.0
0,10.9,15.8,41,68.0,67.1
1,11.1,14.8,46,67.0,40.0
2,11.7,17.5,45,95.0,35.8
4,11.9,15.4,43,65.0,40.0
3,11.9,17.3,46,56.0,44.5
0,12.7,19.1,42,70.0,85.0
0,13.1,16.1,24,56.0,62.0
1,13.3,19.200000000000003,21,50.0,75.0
0,14.7,16.8,36,55.0,55.0
0,15.3,18.1,43,94.0,67.1
1,15.4,19.9,49,82.0,67.1
2,16.6,19.200000000000003,43,89.0,75.0
3,16.7,19.0,32,81.0,62.0
4,17.5,20.2,29,72.0,67.1
1,17.7,23.0,42,71.0,85.0
5,18.4,23.0,29,87.0,44.5
