,arrival_time,departure_time,initial_SOC,desired_SOC,battery_capacity
0,6.4,11.600000000000001,39,98.0,85.0
1,6.5,11.3,20,81.0,67.1
2,6.6,10.1,38,51.0,55.0
3,7.0,11.6,45,70.0,62.0
4,7.0,12.2,32,54.0,62.0
5,7.1,11.2,29,93.0,85.0
0,7.3,11.899999999999999,45,92.0,40.0
1,7.5,15.4,41,87.0,40.0
2,7.7,11.8,32,97.0,44.5
3,7.8,11.899999999999999,46,82.0,55.0
6,7.9,11.100000000000001,34,54.0,85.0
7,7.9,11.100000000000001,15,27.0,75.0
8,7.9,12.3,38,81.0,44.5
9,8.0,11.1,17,98.0,55.0
0,8.2,11.6,23,74.0,67.1
11,8.6,12.8,18,47.0,55.0
1,8.6,13.0,29,96.0,44.5
2,8.8,13.4,45,63.0,62.0
4,8.9,14.2,22,90.0,75.0
3,9.0,12.1,26,98.0,85.0
5,9.1,13.8,43,95.0,55.0
6,9.4,14.8,40,71.0,67.1
4,9.6,13.1,26,98.0,85.0
7,9.6,14.2,19,77.0,75.0
5,9.7,13.5,42,90.0,55.0
8,9.7,18.4,21,56.0,44.5
6,9.9,13.600000000000001,35,99.0,55.0
7,10.0,13.1,43,81.0,85.0
0,10.1,15.3,46,89.0,85.0
9,10.3,15.8,39,84.0,35.8
8,10.3,17.1,46,75.0,35.8
9,10.5,15.1,42,83.0,44.5
11,10.9,15.2,18,50.0,75.0
11,11.2,16.299999999999997,43,73.0,67.1
1,11.4,14.9,22,91.0,40.0
14,11.5,16.7,41,60.0,40.0
15,11.8,15.100000000000001,16,43.0,55.0
16,11.9,15.3,31,81.0,62.0
2,11.9,15.8,40,90.0,67.1
0,12.0,19.3,35,70.0,75.0
0,12.1,15.2,32,52.0,75.0
17,12.2,15.299999999999999,48,68.0,44.5
18,12.5,17.4,46,64.0,67.1
1,12.6,15.399999999999999,33,89.0,85.0
19,12.6,17.1,39,63.0,35.8
20,12.8,17.700000000000003,39,73.0,44.5
2,13.1,15.3,43,89.0,35.8
21,13.3,18.9,27,72.0,75.0
22,13.4,17.0,16,58.0,67.1
3,13.4,18.6,30,61.0,62.0
23,13.5,16.8,38,51.0,40.0
4,13.6,15.7,40,88.0,85.0
24,13.6,20.7,20,58.0,62.0
25,13.8,16.900000000000002,48,80.0,44.5
0,14.0,16.0,18,48.0,75.0
1,14.0,16.7,15,25.0,40.0
26,14.0,17.2,40,69.0,44.5
2,14.2,15.7,46,58.0,35.8
5,14.4,17.3,15,47.0,75.0
27,14.5,17.6,39,98.0,75.0
28,14.6,18.4,36,74.0,40.0
3,14.8,16.6,19,73.0,75.0
6,15.0,17.3,15,92.0,62.0
29,15.0,18.2,34,85.0,75.0
30,15.4,20.1,43,70.0,55.0
4,15.5,17.1,27,73.0,67.1
7,15.7,18.0,42,98.0,44.5
0,15.8,17.900000000000002,30,95.0,75.0
8,15.8,18.0,49,81.0,67.1
0,16.0,23.6,37,63.0,44.5
9,16.1,18.3,20,39.0,35.8
1,16.1,18.8,40,69.0,75.0
5,16.4,18.4,40,92.0,67.1
11,16.6,20.200000000000003,20,83.0,40.0
2,16.8,19.3,26,94.0,75.0
6,16.9,18.5,19,98.0,44.5
3,16.9,21.9,31,70.0,85.0
1,16.9,22.5,34,54.0,75.0
4,17.4,20.599999999999998,27,95.0,35.8
5,18.2,20.9,27,72.0,44.5
6,18.5,21.4,37,71.0,62.0
7,19.3,21.3,24,36.0,67.1
8,19.3,21.7,45,67.0,55.0
9,19.4,21.7,39,64.0,44.5
11,19.7,21.9,20,45.0,75.0
